I love this sandwich,pos
This is an amazing place,pos
I feel very good about these beers,pos
This is my best work,pos
What an awesome view,pos
I do not like this restaurant,neg
I am tired of this stuff,neg
I can't deal with this,neg
He is my sworn enemy,neg
My boss is horrible,neg
This is an awesome place,pos
I do not like the taste of this juice,neg
I love to dance,pos
I am sick and tired of this place,neg
What a great holiday,pos
That is a bad locality to stay,neg
We will have good fun tomorrow,pos
I went to my enemy's house today,neg
I hate afternoons,neg
I love mysore,pos
My friends are too good,pos
Mysore is a awesome place to visit,pos
I do not like bangalore traffic,neg
nie tecknieks was awesome,pos
Accumsan lacus vel facilisis volutpat est velit egestas,pos
Volutpat diam ut venenatis tellus in metus vulputate,neg
Nulla facilisi nullam vehicula ipsum a arcu cursus,pos
Sit amet dictum sit amet justo donec enim diam vulputate,neg
Quis enim lobortis scelerisque fermentum dui faucibus in,pos
Tincidunt lobortis feugiat vivamus at augue eget arcu dictum,neg
Auctor elit sed vulputate mi sit amet mauris commodo quis,pos
Egestas pretium aenean pharetra magna,neg
Vel quam elementum pulvinar etiam,pos
Justo donec enim diam vulputate ut pharetra sit amet,neg
Dui ut ornare lectus sit amet est placerat in egestas,pos